,club_name,player_name,age,position,club_involved_name,fee,fee_converted,transfer_movement,transfer_period,league_name,year,season
0,Atalanta BC,Federico Magallanes,19.0,Striker,Peñarol,£3.60m,8.21395926612,in,Summer,Serie A,1996,1996/1997
1,Atalanta BC,Filippo Inzaghi,22.0,Striker,AC Parma,£81Th.,0.1848140834877,in,Summer,Serie A,1996,1996/1997
2,SSC Napoli,Caio,20.0,Striker,Inter,£4.50m,10.26744908265,in,Summer,Serie A,1996,1996/1997
3,AC Reggiana,Dietmar Beiersdorfer,32.0,Centre-Back,1. FC Köln,£315Th.,0.7187214357855,in,Summer,Serie A,1996,1996/1997
4,UC Sampdoria,Vincenzo Montella,22.0,Striker,Genoa,£3.95m,9.012538639215,in,Summer,Serie A,1996,1996/1997
5,UC Sampdoria,Juan Sebastián Verón,21.0,Central Midfield,Boca Juniors,£3.24m,7.392563339508,in,Summer,Serie A,1996,1996/1997
6,Bologna FC 1909,Igor Shalimov,27.0,Attacking Midfield,Udinese,£3.60m,8.21395926612,in,Summer,Serie A,1996,1996/1997
7,AC Perugia,Milan Rapaic,22.0,Left Winger,Hajduk Split,£675Th.,1.5401173623975,in,Summer,Serie A,1996,1996/1997
8,Milan AC,Christophe Dugarry,24.0,Striker,G. Bordeaux,£5.85m,13.347683807445,in,Summer,Serie A,1996,1996/1997
9,Juventus FC,Alen Boksic,26.0,Striker,Lazio,£4.05m,9.240704174385,in,Summer,Serie A,1996,1996/1997
10,Juventus FC,Christian Vieri,22.0,Striker,Atalanta,£3.39m,7.734811642263,in,Summer,Serie A,1996,1996/1997
11,Juventus FC,Zinédine Zidane,24.0,Attacking Midfield,G. Bordeaux,£3.15m,7.187214357855001,in,Summer,Serie A,1996,1996/1997
12,AC Fiorentina,Luis Oliveira,27.0,Striker,Cagliari Calcio,£6.30m,14.374428715710001,in,Summer,Serie A,1996,1996/1997
13,SS Lazio,Pavel Nedved,23.0,Left Winger,Sparta Praha,£4.18m,9.537319370106,in,Summer,Serie A,1996,1996/1997
14,SS Lazio,Mark Fish,22.0,Centre-Back,Orlando Pirates,£1.17m,2.6695367614889998,in,Summer,Serie A,1996,1996/1997
15,AC Parma,Hernán Crespo,21.0,Striker,River Plate,£3.72m,8.487757908324001,in,Summer,Serie A,1996,1996/1997
16,AC Parma,Amaral,23.0,Defensive Midfield,Palmeiras,£900Th.,2.05348981653,in,Summer,Serie A,1996,1996/1997
17,AC Parma,Enrico Chiesa,25.0,Striker,Sampdoria,£675Th.,1.5401173623975,in,Summer,Serie A,1996,1996/1997
18,FC Internazionale,Youri Djorkaeff,28.0,Attacking Midfield,Paris SG,£5.40m,12.32093889918,in,Summer,Serie A,1996,1996/1997
19,FC Internazionale,Diego Simeone,26.0,Central Midfield,Atlético Madrid,£5.40m,12.32093889918,in,Summer,Serie A,1996,1996/1997
20,FC Internazionale,Fabio Galante,22.0,Centre-Back,Genoa,£4.05m,9.240704174385,in,Summer,Serie A,1996,1996/1997
21,FC Internazionale,Nwankwo Kanu,20.0,Striker,Ajax,£3.53m,8.054243391501,in,Summer,Serie A,1996,1996/1997
22,FC Internazionale,Ciriaco Sforza,26.0,Central Midfield,Bayern Munich,£2.79m,6.365818431243,in,Summer,Serie A,1996,1996/1997
23,FC Internazionale,Iván Zamorano,29.0,Striker,Real Madrid,£2.25m,5.133724541325,in,Summer,Serie A,1996,1996/1997
24,AS Roma,Martin Dahlin,28.0,Striker,Bor. M'gladbach,£2.25m,5.133724541325,in,Summer,Serie A,1996,1996/1997
25,Milan AC,Jesper Blomqvist,22.0,Left Winger,IFK Göteborg,£2.70m,6.16046944959,in,Winter,Serie A,1996,1996/1997
26,AC Fiorentina,Andrey Kanchelskis,27.0,Right Winger,Everton,£7.20m,16.42791853224,in,Winter,Serie A,1996,1996/1997
27,Udinese Calcio,Régis Genaux,23.0,Right-Back,Coventry,£1.04m,2.372921565768,in,Winter,Serie A,1996,1996/1997
28,AC Parma,Reynald Pedros,25.0,Left Winger,Marseille,£2.97m,6.776516394549001,in,Winter,Serie A,1996,1996/1997
29,AS Roma,Vincent Candela,23.0,Left-Back,Guingamp,£8.64m,19.713502238688,in,Winter,Serie A,1996,1996/1997
30,Arsenal FC,Patrick Vieira,20.0,Defensive Midfield,Milan,£4.82m,10.997578795194,in,Summer,Premier League,1996,1996/1997
31,Chelsea FC,Roberto Di Matteo,26.0,Central Midfield,Lazio,£4.95m,11.294193990915,in,Summer,Premier League,1996,1996/1997
32,Chelsea FC,Frank Leboeuf,28.0,Centre-Back,R. Strasbourg,£3.11m,7.095948143787,in,Summer,Premier League,1996,1996/1997
33,Middlesbrough FC,Fabrizio Ravanelli,27.0,Striker,Juventus,£8.80m,20.07856709496,in,Summer,Premier League,1996,1996/1997
34,Middlesbrough FC,Paul Merson,28.0,Right Winger,Arsenal,£5.94m,13.553032789098001,in,Summer,Premier League,1996,1996/1997
35,Nottingham Forest,Pierre van Hooijdonk,26.0,Striker,Celtic,£5.40m,12.32093889918,in,Summer,Premier League,1996,1996/1997
36,Nottingham Forest,Dean Saunders,32.0,Striker,Galatasaray,£1.53m,3.490932688101,in,Summer,Premier League,1996,1996/1997
37,Nottingham Forest,Chris Allen,23.0,Central Midfield,Oxford United,£437Th.,0.9970833886929001,in,Summer,Premier League,1996,1996/1997
38,Newcastle United,Alan Shearer,25.0,Striker,Blackburn,£18.90m,43.12328614713,in,Summer,Premier League,1996,1996/1997
39,Newcastle United,Faustino Asprilla,26.0,Striker,AC Parma,£6.84m,15.606522605628001,in,Summer,Premier League,1996,1996/1997
40,Manchester United,Karel Poborsky,24.0,Right Winger,Slavia Prague,£3.60m,8.21395926612,in,Summer,Premier League,1996,1996/1997
41,Manchester United,Ole Gunnar Solskjaer,23.0,Second Striker,Molde,£2.25m,5.133724541325,in,Summer,Premier League,1996,1996/1997
42,Manchester United,Jordi Cruyff,22.0,Attacking Midfield,FC Barcelona,£2.25m,5.133724541325,in,Summer,Premier League,1996,1996/1997
43,Manchester United,Ronny Johnsen,27.0,Centre-Back,Besiktas,£2.00m,4.5633107034,in,Summer,Premier League,1996,1996/1997
44,Coventry City,Régis Genaux,22.0,Right-Back,Standard Liège,£945Th.,2.1561643073564998,in,Summer,Premier League,1996,1996/1997
45,Coventry City,Michael O'Neill,26.0,Attacking Midfield,Hibernian FC,£675Th.,1.5401173623975,in,Summer,Premier League,1996,1996/1997
46,Coventry City,Gary McAllister,31.0,Central Midfield,Leeds,£225Th.,0.5133724541325,in,Summer,Premier League,1996,1996/1997
47,Wimbledon FC,Ben Thatcher,20.0,Left-Back,Millwall,£2.37m,5.407523183529,in,Summer,Premier League,1996,1996/1997
48,Wimbledon FC,Duncan Jupp,21.0,Right-Back,Fulham,£135Th.,0.3080234724795,in,Summer,Premier League,1996,1996/1997
49,Leicester City,Kasey Keller,26.0,Goalkeeper,Millwall,£1.22m,2.783619529074,in,Summer,Premier League,1996,1996/1997
50,Leicester City,Muzzy Izzet,21.0,Right Winger,Chelsea,£1.08m,2.464187779836,in,Summer,Premier League,1996,1996/1997
51,Leicester City,Ian Marshall,30.0,Striker,Ipswich,£1.08m,2.464187779836,in,Summer,Premier League,1996,1996/1997
52,Leicester City,Spencer Prior,25.0,Centre-Back,Norwich,£630Th.,1.437442871571,in,Summer,Premier League,1996,1996/1997
53,Aston Villa,Sasa Curcic,24.0,Defensive Midfield,Bolton,£5.40m,12.32093889918,in,Summer,Premier League,1996,1996/1997
54,Aston Villa,Julian Joachim,21.0,Striker,Leicester,£1.89m,4.3123286147129996,in,Summer,Premier League,1996,1996/1997
55,Leeds United,Lee Sharpe,25.0,Left Winger,Man Utd,£6.08m,13.872464538336,in,Summer,Premier League,1996,1996/1997
56,Leeds United,Lee Bowyer,19.0,Central Midfield,Charlton,£3.42m,7.8032613028140005,in,Summer,Premier League,1996,1996/1997
57,Leeds United,Nigel Martyn,29.0,Goalkeeper,Crystal Palace,£3.02m,6.8905991621339995,in,Summer,Premier League,1996,1996/1997
58,Leeds United,Derek Lilley,22.0,Striker,Morton,£675Th.,1.5401173623975,in,Summer,Premier League,1996,1996/1997
59,Leeds United,Gunnar Halle,30.0,Right-Back,Oldham Athletic,£518Th.,1.1818974721806002,in,Summer,Premier League,1996,1996/1997
60,Derby County,Chris Powell,26.0,Left-Back,Crystal Palace,£1.13m,2.5782705474209995,in,Summer,Premier League,1996,1996/1997
61,Derby County,Christian Dailly,22.0,Centre-Back,Dundee United,£675Th.,1.5401173623975,in,Summer,Premier League,1996,1996/1997
62,Derby County,Gary Rowett,22.0,Right-Back,Everton,£378Th.,0.8624657229425999,in,Summer,Premier League,1996,1996/1997
63,Derby County,Paul McGrath,36.0,Centre-Back,Aston Villa,£113Th.,0.2578270547421,in,Summer,Premier League,1996,1996/1997
64,Everton FC,Nick Barmby,22.0,Left Winger,Middlesbrough,£7.20m,16.42791853224,in,Summer,Premier League,1996,1996/1997
65,Everton FC,Paul Gerrard,23.0,Goalkeeper,Oldham Athletic,£1.35m,3.080234724795,in,Summer,Premier League,1996,1996/1997
66,Liverpool FC,Patrik Berger,22.0,Attacking Midfield,Bor. Dortmund,£3.15m,7.187214357855001,in,Summer,Premier League,1996,1996/1997
67,Tottenham Hotspur,Allan Nielsen,25.0,Central Midfield,Bröndby IF,£1.80m,4.10697963306,in,Summer,Premier League,1996,1996/1997
68,Southampton FC,Egil Östenstad,24.0,Striker,Viking FK,£720Th.,1.642791853224,in,Summer,Premier League,1996,1996/1997
69,Southampton FC,Claus Lundekvam,23.0,Centre-Back,SK Brann,£540Th.,1.232093889918,in,Summer,Premier League,1996,1996/1997
70,Southampton FC,Graham Potter,21.0,Left-Back,Stoke City,£282Th.,0.6434268091794,in,Summer,Premier League,1996,1996/1997
71,Sunderland AFC,Lee Clark,23.0,Right Winger,Newcastle,£2.93m,6.685250180481001,in,Summer,Premier League,1996,1996/1997
72,Sunderland AFC,Alex Rae,26.0,Central Midfield,Millwall,£1.35m,3.080234724795,in,Summer,Premier League,1996,1996/1997
73,Sunderland AFC,Niall Quinn,29.0,Striker,Man City,£1.17m,2.6695367614889998,in,Summer,Premier League,1996,1996/1997
74,Sunderland AFC,Tony Coton,35.0,Goalkeeper,Man Utd,£608Th.,1.3872464538336,in,Summer,Premier League,1996,1996/1997
75,Sunderland AFC,Darren Williams,19.0,Centre-Back,York City,£68Th.,0.1551525639156,in,Summer,Premier League,1996,1996/1997
76,West Ham United,Richard Hall,24.0,Centre-Back,Southampton,£1.53m,3.490932688101,in,Summer,Premier League,1996,1996/1997
77,West Ham United,Stan Lazaridis,23.0,Left Winger,West Adelaide SC,£405Th.,0.9240704174385,in,Summer,Premier League,1996,1996/1997
78,West Ham United,Scott Mean,22.0,Central Midfield,Bournemouth,£135Th.,0.3080234724795,in,Summer,Premier League,1996,1996/1997
79,Sheffield Wednesday,Andy Booth,22.0,Striker,Huddersfield,£3.51m,8.008610284466998,in,Summer,Premier League,1996,1996/1997
80,Sheffield Wednesday,Patrick Blondeau,29.0,Right-Back,Monaco,£2.34m,5.3390735229779995,in,Summer,Premier League,1996,1996/1997
81,Sheffield Wednesday,Wayne Collins,27.0,Central Midfield,Crewe Alexandra,£810Th.,1.848140834877,in,Summer,Premier League,1996,1996/1997
82,Sheffield Wednesday,Scott Oakes,,Second Striker,Luton,£576Th.,1.3142334825792001,in,Summer,Premier League,1996,1996/1997
83,Arsenal FC,Nicolas Anelka,17.0,Striker,Paris SG,£684Th.,1.5606522605628,in,Winter,Premier League,1996,1996/1997
84,Chelsea FC,Gianfranco Zola,30.0,Second Striker,AC Parma,£5.58m,12.731636862486,in,Winter,Premier League,1996,1996/1997
85,Chelsea FC,Danny Granville,22.0,Left-Back,Cambridge Utd.,£374Th.,0.8533391015358001,in,Winter,Premier League,1996,1996/1997
86,Middlesbrough FC,Mark Schwarzer,24.0,Goalkeeper,Bradford,£2.25m,5.133724541325,in,Winter,Premier League,1996,1996/1997
87,Nottingham Forest,Ian Thomas-Moore,18.0,Striker,Tranmere Rovers,£1.35m,3.080234724795,in,Winter,Premier League,1996,1996/1997
88,Coventry City,Oleksandr Yevtushok,26.0,Centre-Back,Dnipro,£1.08m,2.464187779836,in,Winter,Premier League,1996,1996/1997
89,Coventry City,Darren Huckerby,20.0,Right Winger,Newcastle,£900Th.,2.05348981653,in,Winter,Premier League,1996,1996/1997
90,Leicester City,Matt Elliott,28.0,Centre-Back,Oxford United,£2.16m,4.928375559672,in,Winter,Premier League,1996,1996/1997
91,Leicester City,Steve Guppy,27.0,Left Winger,Port Vale,£1.07m,2.441371226319,in,Winter,Premier League,1996,1996/1997
92,Leicester City,Rob Ullathorne,25.0,Left-Back,CA Osasuna,£810Th.,1.848140834877,in,Winter,Premier League,1996,1996/1997
93,Leeds United,Robert Molenaar,27.0,Centre-Back,FC Volendam,£1.26m,2.874885743142,in,Winter,Premier League,1996,1996/1997
94,Derby County,Paulo Wanchope,20.0,Striker,Herediano,£756Th.,1.7249314458851999,in,Winter,Premier League,1996,1996/1997
95,Derby County,Paul McGrath,36.0,Centre-Back,Aston Villa,£113Th.,0.2578270547421,in,Winter,Premier League,1996,1996/1997
96,Everton FC,Nick Barmby,22.0,Left Winger,Middlesbrough,£7.20m,16.42791853224,in,Winter,Premier League,1996,1996/1997
97,Everton FC,Claus Thomsen,26.0,Centre-Back,Ipswich,£1.13m,2.5782705474209995,in,Winter,Premier League,1996,1996/1997
98,Tottenham Hotspur,Steffen Iversen,19.0,Second Striker,Rosenborg BK,£2.93m,6.685250180481001,in,Winter,Premier League,1996,1996/1997
99,Tottenham Hotspur,John Scales,30.0,Centre-Back,Liverpool,£2.70m,6.16046944959,in,Winter,Premier League,1996,1996/1997
100,Southampton FC,Egil Östenstad,24.0,Striker,Viking FK,£720Th.,1.642791853224,in,Winter,Premier League,1996,1996/1997
101,Southampton FC,Mickey Evans,24.0,Striker,Plymouth,£702Th.,1.6017220568934,in,Winter,Premier League,1996,1996/1997
102,Southampton FC,Maik Taylor,25.0,Goalkeeper,Barnet,£675Th.,1.5401173623975,in,Winter,Premier League,1996,1996/1997
103,Sunderland AFC,Jan Eriksson,29.0,Centre-Back,Helsingborg,£270Th.,0.616046944959,in,Winter,Premier League,1996,1996/1997
104,Sunderland AFC,Chris Waddle,36.0,Attacking Midfield,Bradford,£90Th.,0.205348981653,in,Winter,Premier League,1996,1996/1997
105,Sunderland AFC,Darren Williams,19.0,Centre-Back,York City,£68Th.,0.1551525639156,in,Winter,Premier League,1996,1996/1997
106,West Ham United,John Hartson,21.0,Striker,Arsenal,£4.50m,10.26744908265,in,Winter,Premier League,1996,1996/1997
107,West Ham United,Paul Kitson,26.0,Striker,Newcastle,£3.15m,7.187214357855001,in,Winter,Premier League,1996,1996/1997
108,West Ham United,Steve Lomas,23.0,Central Midfield,Man City,£2.16m,4.928375559672,in,Winter,Premier League,1996,1996/1997
109,RC Lens,Vladimir Smicer,23.0,Attacking Midfield,Slavia Prague,£2.25m,5.133724541325,in,Summer,Ligue 1,1996,1996/1997
110,FC Girondins Bordeaux,Cyril Domoraud,24.0,Centre-Back,AS Red Star 93,£900Th.,2.05348981653,in,Summer,Ligue 1,1996,1996/1997
111,RC Strasbourg Alsace,Pascal Nouma,24.0,Striker,Paris SG,£900Th.,2.05348981653,in,Summer,Ligue 1,1996,1996/1997
112,RC Strasbourg Alsace,Jan Suchoparek,26.0,Centre-Back,Slavia Prague,£540Th.,1.232093889918,in,Summer,Ligue 1,1996,1996/1997
113,SC Bastia,Ermin Siljak,23.0,Striker,NK Olimpija,£630Th.,1.437442871571,in,Summer,Ligue 1,1996,1996/1997
114,Stade Rennais FC,Allan Johnston,22.0,Right Winger,Heart of Midl.,£630Th.,1.437442871571,in,Summer,Ligue 1,1996,1996/1997
115,Olympique Marseille,Reynald Pedros,24.0,Left Winger,FC Nantes,£1.80m,4.10697963306,in,Summer,Ligue 1,1996,1996/1997
116,Olympique Marseille,Yordan Letchkov,28.0,Central Midfield,Hamburger SV,£900Th.,2.05348981653,in,Summer,Ligue 1,1996,1996/1997
117,Olympique Marseille,Andreas Köpke,34.0,Goalkeeper,E. Frankfurt,£270Th.,0.616046944959,in,Summer,Ligue 1,1996,1996/1997
118,Olympique Marseille,Victor Agali,17.0,Striker,FC NITEL Lagos,£135Th.,0.3080234724795,in,Summer,Ligue 1,1996,1996/1997
119,AS Monaco,Marco Grassi,27.0,Striker,Stade Rennais,£5.40m,12.32093889918,in,Summer,Ligue 1,1996,1996/1997
120,Olympique Lyon,Grégory Coupet,24.0,Goalkeeper,Saint-Étienne,£1.24m,2.829252636108,in,Winter,Ligue 1,1996,1996/1997
121,1. FC Köln,Ion Vladoiu,27.0,Right Winger,Steaua Bukarest,£675Th.,1.5401173623975,in,Summer,Bundesliga,1996,1996/1997
122,1. FC Köln,Bodo Schmidt,28.0,Centre-Back,Bor. Dortmund,£360Th.,0.821395926612,in,Summer,Bundesliga,1996,1996/1997
123,1. FC Köln,Michael Kostner,27.0,Centre-Back,FC 08 Homburg,£225Th.,0.5133724541325,in,Summer,Bundesliga,1996,1996/1997
124,VfL Bochum,Georgi Donkov,26.0,Striker,CSKA Sofia,£1.35m,3.080234724795,in,Summer,Bundesliga,1996,1996/1997
125,VfL Bochum,Zoran Mamic,24.0,Centre-Back,Croatia Zagreb,£113Th.,0.2578270547421,in,Summer,Bundesliga,1996,1996/1997
126,VfL Bochum,Daniel Winkler,22.0,Striker,Pfeddersheim,£45Th.,0.1026744908265,in,Summer,Bundesliga,1996,1996/1997
127,VfB Stuttgart,Zvonimir Soldo,28.0,Defensive Midfield,Croatia Zagreb,£900Th.,2.05348981653,in,Summer,Bundesliga,1996,1996/1997
128,VfB Stuttgart,Sébastien Fournier,25.0,Defensive Midfield,FC Sion,£900Th.,2.05348981653,in,Summer,Bundesliga,1996,1996/1997
129,VfB Stuttgart,Franz Wohlfahrt,32.0,Goalkeeper,Austria Vienna,£900Th.,2.05348981653,in,Summer,Bundesliga,1996,1996/1997
130,VfB Stuttgart,Matthias Hagner,21.0,Right Winger,E. Frankfurt,£405Th.,0.9240704174385,in,Summer,Bundesliga,1996,1996/1997
131,VfB Stuttgart,Thorsten Legat,27.0,Left Winger,E. Frankfurt,£405Th.,0.9240704174385,in,Summer,Bundesliga,1996,1996/1997
132,VfB Stuttgart,Kristijan Djordjevic,20.0,Right Winger,SSV Reutlingen,£113Th.,0.2578270547421,in,Summer,Bundesliga,1996,1996/1997
133,VfB Stuttgart,Marijo Maric,19.0,Striker,TSF Ditzingen,£68Th.,0.1551525639156,in,Summer,Bundesliga,1996,1996/1997
134,TSV 1860 Munich,Manfred Bender,30.0,Attacking Midfield,Karlsruher SC,£675Th.,1.5401173623975,in,Summer,Bundesliga,1996,1996/1997
135,TSV 1860 Munich,Ronny Ernst,20.0,Right-Back,Dynamo Dresden,£360Th.,0.821395926612,in,Summer,Bundesliga,1996,1996/1997
136,TSV 1860 Munich,Marco Walker,26.0,Centre-Back,FC Basel,£270Th.,0.616046944959,in,Summer,Bundesliga,1996,1996/1997
137,TSV 1860 Munich,Rayk Schröder,21.0,Right-Back,Union Berlin,£113Th.,0.2578270547421,in,Summer,Bundesliga,1996,1996/1997
138,TSV 1860 Munich,Jörg Böhme,22.0,Left Winger,E. Frankfurt,£90Th.,0.205348981653,in,Summer,Bundesliga,1996,1996/1997
139,SC Freiburg,Dieter Frey,23.0,Defensive Midfield,Bayern Munich,£675Th.,1.5401173623975,in,Summer,Bundesliga,1996,1996/1997
140,MSV Duisburg,Horst Steffen,27.0,Central Midfield,KFC Uerdingen,£270Th.,0.616046944959,in,Summer,Bundesliga,1996,1996/1997
141,MSV Duisburg,Michael Zeyer,28.0,Central Midfield,Waldh. Mannheim,£180Th.,0.410697963306,in,Summer,Bundesliga,1996,1996/1997
142,MSV Duisburg,Miroslav Bicanic,26.0,Central Midfield,NK Osijek,£90Th.,0.205348981653,in,Summer,Bundesliga,1996,1996/1997
143,Karlsruher SC,Thomas Hengen,21.0,Centre-Back,1.FC K'lautern,£1.13m,2.5782705474209995,in,Summer,Bundesliga,1996,1996/1997
144,Karlsruher SC,Timur Eroglu,19.0,Second Striker,Waldh. Mannheim,£90Th.,0.205348981653,in,Summer,Bundesliga,1996,1996/1997
145,Hamburger SV,Jens Dowe,28.0,Left Winger,1860 Munich,£945Th.,2.1561643073564998,in,Summer,Bundesliga,1996,1996/1997
146,Hamburger SV,Markus Schopp,22.0,Right Winger,Sturm Graz,£900Th.,2.05348981653,in,Summer,Bundesliga,1996,1996/1997
147,Hamburger SV,Rodolfo Cardoso,27.0,Attacking Midfield,Werder Bremen,Loan fee:£315Th.,0.7187214357855,in,Summer,Bundesliga,1996,1996/1997
148,Hamburger SV,Markus Schupp,30.0,Attacking Midfield,E. Frankfurt,£225Th.,0.5133724541325,in,Summer,Bundesliga,1996,1996/1997
149,Hamburger SV,Jochen Seitz,19.0,Left Winger,Aschaffenburg,£135Th.,0.3080234724795,in,Summer,Bundesliga,1996,1996/1997
150,Fortuna Düsseldorf,Robert Kocis,22.0,Striker,Tatran Presov,£540Th.,1.232093889918,in,Summer,Bundesliga,1996,1996/1997
151,Fortuna Düsseldorf,Vladimir Pasic,25.0,Centre-Back,Rad,£360Th.,0.821395926612,in,Summer,Bundesliga,1996,1996/1997
152,Fortuna Düsseldorf,Andreas Golombek,27.0,Centre-Back,Wattenscheid 09,£135Th.,0.3080234724795,in,Summer,Bundesliga,1996,1996/1997
153,Fortuna Düsseldorf,Holger Fach,33.0,Centre-Back,Bay. Leverkusen,£68Th.,0.1551525639156,in,Summer,Bundesliga,1996,1996/1997
154,Fortuna Düsseldorf,Oliver Kröner,22.0,Left Winger,Schweinfurt 05,£68Th.,0.1551525639156,in,Summer,Bundesliga,1996,1996/1997
155,Fortuna Düsseldorf,Macchambes Younga-Mouhani,21.0,Defensive Midfield,Bor. M'gladbach,£18Th.,0.041069796330600004,in,Summer,Bundesliga,1996,1996/1997
156,FC St. Pauli,Demir Duric,19.0,Attacking Midfield,FSV Frankfurt,£25Th.,0.05704138379250001,in,Summer,Bundesliga,1996,1996/1997
157,FC St. Pauli,Bernd Eigner,24.0,Centre-Back,VfL Frohnlach,£11Th.,0.025098208868700005,in,Summer,Bundesliga,1996,1996/1997
158,FC Schalke 04,Johan de Kock,31.0,Centre-Back,Roda JC,£1.58m,3.6050154556860003,in,Summer,Bundesliga,1996,1996/1997
159,FC Schalke 04,Marc Wilmots,27.0,Attacking Midfield,Standard Liège,£540Th.,1.232093889918,in,Summer,Bundesliga,1996,1996/1997
160,FC Schalke 04,Marco Kurz,27.0,Centre-Back,Bor. Dortmund,£180Th.,0.410697963306,in,Summer,Bundesliga,1996,1996/1997
161,FC Hansa Rostock,Thomas Ziemer,26.0,Attacking Midfield,1.FSV Mainz 05,£338Th.,0.7711995088746,in,Summer,Bundesliga,1996,1996/1997
162,FC Hansa Rostock,Sergej Barbarez,24.0,Second Striker,Union Berlin,£270Th.,0.616046944959,in,Summer,Bundesliga,1996,1996/1997
163,FC Hansa Rostock,Yasser Radwan,24.0,Defensive Midfield,Baladeya,£225Th.,0.5133724541325,in,Summer,Bundesliga,1996,1996/1997
164,FC Hansa Rostock,Martin Pieckenhagen,24.0,Goalkeeper,MSV Duisburg,£68Th.,0.1551525639156,in,Summer,Bundesliga,1996,1996/1997
165,FC Hansa Rostock,Thomas Gansauge,26.0,Centre-Back,PSV Rostock,£23Th.,0.05247807308909999,in,Summer,Bundesliga,1996,1996/1997
166,Bayern Munich,Mario Basler,27.0,Right Winger,Werder Bremen,£3.69m,8.419308247773,in,Summer,Bundesliga,1996,1996/1997
167,Bayern Munich,Markus Münch,23.0,Left-Back,Bay. Leverkusen,£1.17m,2.6695367614889998,in,Summer,Bundesliga,1996,1996/1997
168,Bayern Munich,Carsten Jancker,21.0,Striker,Rapid Vienna,£693Th.,1.5811871587281,in,Summer,Bundesliga,1996,1996/1997
169,Bayern Munich,Markus Oberleitner,22.0,Attacking Midfield,Unterhaching,£225Th.,0.5133724541325,in,Summer,Bundesliga,1996,1996/1997
170,Bayern Munich,Bernd Dreher,29.0,Goalkeeper,KFC Uerdingen,£225Th.,0.5133724541325,in,Summer,Bundesliga,1996,1996/1997
171,Borussia Mönchengladbach,Andrzej Juskowiak,25.0,Striker,Olympiacos,£675Th.,1.5401173623975,in,Summer,Bundesliga,1996,1996/1997
172,Borussia Mönchengladbach,Ioan Lupescu,27.0,Central Midfield,Bay. Leverkusen,£585Th.,1.3347683807444999,in,Summer,Bundesliga,1996,1996/1997
173,Borussia Mönchengladbach,Stephan Paßlack,25.0,Centre-Back,KFC Uerdingen,£405Th.,0.9240704174385,in,Summer,Bundesliga,1996,1996/1997
174,Borussia Mönchengladbach,Robert Enke,18.0,Goalkeeper,Carl Zeiss Jena,£135Th.,0.3080234724795,in,Summer,Bundesliga,1996,1996/1997
175,Borussia Dortmund,Paulo Sousa,25.0,Central Midfield,Juventus,£3.24m,7.392563339508,in,Summer,Bundesliga,1996,1996/1997
176,Borussia Dortmund,René Schneider,23.0,Centre-Back,Hansa Rostock,£2.07m,4.723026578019,in,Summer,Bundesliga,1996,1996/1997
177,Borussia Dortmund,Wolfgang Feiersinger,31.0,Centre-Back,Casino Salzburg,£585Th.,1.3347683807444999,in,Summer,Bundesliga,1996,1996/1997
178,Bayer 04 Leverkusen,Zé Elias,19.0,Central Midfield,Corinthians,£2.70m,6.16046944959,in,Summer,Bundesliga,1996,1996/1997
179,Bayer 04 Leverkusen,Jens Nowotny,22.0,Centre-Back,Karlsruher SC,£720Th.,1.642791853224,in,Summer,Bundesliga,1996,1996/1997
180,Bayer 04 Leverkusen,Niko Kovac,24.0,Defensive Midfield,Hertha BSC,£495Th.,1.1294193990915,in,Summer,Bundesliga,1996,1996/1997
181,Bayer 04 Leverkusen,Jan Heintze,32.0,Left-Back,KFC Uerdingen,£450Th.,1.026744908265,in,Summer,Bundesliga,1996,1996/1997
182,Bayer 04 Leverkusen,Robert Kovac,22.0,Centre-Back,1.FC Nuremberg,£387Th.,0.8830006211079,in,Summer,Bundesliga,1996,1996/1997
183,Arminia Bielefeld,Stefan Kuntz,33.0,Striker,Besiktas,£1.13m,2.5782705474209995,in,Summer,Bundesliga,1996,1996/1997
184,Arminia Bielefeld,Giuseppe Reina,24.0,Right Winger,Wattenscheid 09,£338Th.,0.7711995088746,in,Summer,Bundesliga,1996,1996/1997
185,Arminia Bielefeld,Markos Rainer Rauffmann,29.0,Striker,E. Frankfurt,£225Th.,0.5133724541325,in,Summer,Bundesliga,1996,1996/1997
186,Arminia Bielefeld,Silvio Meißner,23.0,Defensive Midfield,Chemnitzer FC,£203Th.,0.4631760363951001,in,Summer,Bundesliga,1996,1996/1997
187,Arminia Bielefeld,Heiko Gerber,23.0,Left-Back,Chemnitzer FC,£203Th.,0.4631760363951001,in,Summer,Bundesliga,1996,1996/1997
188,Arminia Bielefeld,Johann Stenzel,21.0,Central Midfield,FC St. Pauli II,£32Th.,0.07301297125440001,in,Summer,Bundesliga,1996,1996/1997
189,SV Werder Bremen,Andreas Herzog,27.0,Attacking Midfield,Bayern Munich,£2.25m,5.133724541325,in,Summer,Bundesliga,1996,1996/1997
190,SV Werder Bremen,Jens Todt,26.0,Defensive Midfield,SC Freiburg,£900Th.,2.05348981653,in,Summer,Bundesliga,1996,1996/1997
191,SV Werder Bremen,Viktor Skripnik,26.0,Left-Back,Dnipro,£810Th.,1.848140834877,in,Summer,Bundesliga,1996,1996/1997
192,SV Werder Bremen,Heimo Pfeifenberger,29.0,Right Winger,Casino Salzburg,£675Th.,1.5401173623975,in,Summer,Bundesliga,1996,1996/1997
