Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;Any;Mes_ any;Nom_mes;Dia_mes;Descripcio_torn;Hora_dia;Descripcio_causa_vianant;Desc_Tipus_vehicle_implicat;Descripcio_sexe;Edat;Descripcio_tipus_persona;Descripcio_situacio;Descripcio_victimitzacio;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2018S000001    ;3;Sants-Montjuïc;11;el Poble-sec;273400;Paral·lel                                         ;117-119   ;Dilluns;Dl;Laboral;2018;1;Gener;1;Nit;3;No és causa del  vianant;Turisme;Home;41;Conductor;Presentat;Ferit lleu: Amb assistència sanitària en lloc d'accident;429910.63 ;4580909.28;2.160.723;41.374.806
2018S000001    ;3;Sants-Montjuïc;11;el Poble-sec;273400;Paral·lel                                         ;;Dilluns;Dl;Laboral;2018;1;Gener;1;Nit;3;No és causa del  vianant;Turisme;Home;54;Conductor;Presentat;Ferit lleu: Amb assistència sanitària en lloc d'accident;429910.63 ;4580909.28;2.160.723;41.374.806
2018S000002    ;2;Eixample;9;la Nova Esquerra de l'Eixample;361406;Viladomat / Rosselló                              ;;Dilluns;Dl;Laboral;2018;1;Gener;1;Nit;0;No és causa del  vianant;Ciclomotor;Home;45;Conductor;Presentat;Ferit lleu: Hospitalització fins a 24h;428882.97 ;4582216.76;2.148.281;41.386.492
2018S000003    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria                                         ;252;Dilluns;Dl;Laboral;2018;1;Gener;1;Nit;2;No és causa del  vianant;Motocicleta;Home;70;Conductor;Presentat;Ferit lleu: Hospitalització fins a 24h;431447.19 ;4585099.12;2.178.621;41.412.675
2018S000005    ;8;Nou Barris;56;Vallbona;330606;C-17 (Barcelona)                                  ;K14       ;Dilluns;Dl;Laboral;2018;1;Gener;1;Matí;9;No és causa del  vianant;Turisme;Dona;33;Conductor;Presentat;Ferit lleu: Hospitalització fins a 24h;431568.59 ;4590758.85;2.179.432;41.463.661
2018S000006    ;4;Les Corts;19;les Corts;144601;Diagonal                                          ;539-541   ;Dilluns;Dl;Laboral;2018;1;Gener;1;Tarda;17;No és causa del  vianant;Turisme;Dona;39;Passatger;Desconegut;Ferit lleu: Hospitalització fins a 24h;428005.61 ;4582682.86;2.137.733;41.390.612
2018S000007    ;10;Sant Martí;73;la Verneda i la Pau;60807;Cantàbria                                         ;11;Dilluns;Dl;Laboral;2018;1;Gener;1;Tarda;18;No és causa del  vianant;Furgoneta;Dona;7;Passatger;Desconegut;Ferit lleu: Hospitalització fins a 24h;433497.23 ;4585706.44;2.203.081;41.418.318
2018S000007    ;10;Sant Martí;73;la Verneda i la Pau;60807;Cantàbria                                         ;;Dilluns;Dl;Laboral;2018;1;Gener;1;Tarda;18;No és causa del  vianant;Furgoneta;Home;41;Conductor;Presentat;Ferit lleu: Hospitalització fins a 24h;433497.23 ;4585706.44;2.203.081;41.418.318
2018S000008    ;3;Sants-Montjuïc;17;Sants - Badal;30103;Sants / Begur                                     ;;Dilluns;Dl;Laboral;2018;1;Gener;1;Tarda;18;No és causa del  vianant;Motocicleta;Home;26;Conductor;Presentat;Ferit lleu: Hospitalització fins a 24h;427276.95 ;4581015.43;2.129.219;41.375.528
2018S000009    ;2;Eixample;10;Sant Antoni;349706;Comte d'Urgell / Sepúlveda                        ;;Dilluns;Dl;Laboral;2018;1;Gener;1;Tarda;18;No és causa del  vianant;Motocicleta;Home;30;Passatger;Desconegut;Ferit lleu: Amb assistència sanitària en lloc d'accident;429841.22 ;4581617.31;2.159.811;41.381.177
2018S000010    ;8;Nou Barris;45;Porta;103003;Alcúdia / Deià                                    ;;Dilluns;Dl;Laboral;2018;1;Gener;1;Tarda;19;No és causa del  vianant;Motocicleta;Home;59;Conductor;Presentat;Ferit lleu: Amb assistència sanitària en lloc d'accident;431026.98 ;4587540.78;2.173.315;4.143.463
2018S000011    ;2;Eixample;7;la Dreta de l'Eixample;289105;Rosselló / Catalunya                              ;;Dilluns;Dl;Laboral;2018;1;Gener;1;Tarda;19;No és causa del  vianant;Turisme;Home;6;Vianant;Desconegut;Ferit lleu: Amb assistència sanitària en lloc d'accident;429774.77 ;4583089.18;2.158.845;41.394.428
2018S000012    ;1;Ciutat Vella;2;el Barri Gòtic;311000;Sant Jaume                                        ;1;Dilluns;Dl;Laboral;2018;1;Gener;1;Tarda;19;No és causa del  vianant;Bicicleta;Home;71;Vianant;Desconegut;Ferit lleu: Amb assistència sanitària en lloc d'accident;431292.99 ;4581751.75;2.177.156;41.382.513
2018S000013    ;2;Eixample;7;la Dreta de l'Eixample;9209;Tetuan                                            ;5;Dilluns;Dl;Laboral;2018;1;Gener;1;Nit;22;No és causa del  vianant;Ciclomotor;Dona;20;Conductor;Presentat;Ferit lleu: Hospitalització fins a 24h;431185.92 ;4583053.84;2.175.728;41.394.232
2018S000014    ;10;Sant Martí;67;la Vila Olímpica del Poblenou;367504;Doctor Trueta                                     ;73-75     ;Dilluns;Dl;Laboral;2018;1;Gener;1;Tarda;20;No és causa del  vianant;Ciclomotor;Home;20;Conductor;Presentat;Ferit lleu: Hospitalització fins a 24h;432809.88 ;4582852.47;2.195.174;41.392.555
2018S000015    ;10;Sant Martí;67;la Vila Olímpica del Poblenou;701497;Voluntaris Olímpics / Salvador Espriu             ;;Dilluns;Dl;Laboral;2018;1;Gener;1;Nit;22;No és causa del  vianant;Taxi;Home;26;Passatger;Desconegut;Ferit lleu: Amb assistència sanitària en lloc d'accident;432869.81 ;4582348.98;2.195.947;41.388.026
2018S000016    ;2;Eixample;10;Sant Antoni;323203;Sant Antoni / Joaquín Costa                       ;;Dimarts;Dm;Laboral;2018;1;Gener;2;Nit;0;No és causa del  vianant;Camió rígid > 3,5 tones;Home;45;Passatger;Desconegut;Ferit lleu: Amb assistència sanitària en lloc d'accident;430180.58 ;4581946.73;2.163.831;41.384.174
2018S000017    ;2;Eixample;6;la Sagrada Família;144601;Aragó / Diagonal                                  ;;Dimarts;Dm;Laboral;2018;1;Gener;2;Matí;7;No és causa del  vianant;Turisme;Dona;37;Conductor;Presentat;Ferit lleu: Amb assistència sanitària en lloc d'accident;431167.04 ;4583702.85;2.175.428;41.400.076
2018S000018    ;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;162400;Calvó / Jesús i Maria                             ;;Dimarts;Dm;Laboral;2018;1;Gener;2;Nit;5;No és causa del  vianant;Turisme;Home;35;Conductor;Presentat;Ferit lleu: Hospitalització fins a 24h;427500.53 ;4584915.38;2.131.425;41.410.674
2018S000019    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;245802;París / Enric Granados                            ;;Dimarts;Dm;Laboral;2018;1;Gener;2;Matí;9;No és causa del  vianant;Ciclomotor;Home;35;Conductor;Presentat;Ferit lleu: Rebutja assistència sanitària;429365.3  ;4583064.14;2.153.951;41.394.167
2018S000019    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;245802;París / Enric Granados                            ;;Dimarts;Dm;Laboral;2018;1;Gener;2;Matí;9;No és causa del  vianant;Motocicleta;Dona;33;Conductor;Presentat;Ferit lleu: Hospitalització fins a 24h;429365.3  ;4583064.14;2.153.951;41.394.167
2018S000021    ;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;701502;Benedetti / Bellesguard                           ;;Dimarts;Dm;Laboral;2018;1;Gener;2;Matí;9;No és causa del  vianant;Motocicleta;Home;39;Conductor;Presentat;Ferit lleu: Hospitalització fins a 24h;427028.24 ;4584882.89;2.125.779;41.410.338
