,Year,Country,freedom,Protest_Name,Motivations,Peak_Size
0,2019,Albania,Partly free,Local elections protests,Electoral fraud and corruption.,">10,000"
1,2019,Algeria,Not free,Protests against “Le Pouvoir”,"Economic downturn, corruption and nepotism, and desire for removal of entrenched military and political elites.",">1,000,000"
2,2018,Argentina,Free,Austerity protests,"Rising inflation and unemployment, as well as higher utility costs.",">10,000"
3,2020,Argentina,Free,Violence against women protests,Violence against women and lack of resources/institutions to combat it.,Thousands
4,2018,Armenia,Partly free,“#RejectSerzh” protests,"Democratic backslide, poverty, and corruption.",">100,000"
5,2020,Australia,Free,Wildfire protests,Climate change and weak government policies on climate.,"30,000"
6,2020,Australia,Free,Racial equality protests,"Local issues of racism, institutional racism, and police violence against Aboriginal people.",">10,000"
7,2019,Azerbaijan,Not free,Political prisoner protest,"Imprisonment of journalists and civil society members, political prosecutions, police brutality, corruption, and lack of democratic reform.","5,000"
8,2018,Bangladesh,Partly free,Road safety protests,"Lack of road safety, corruption in transportation sector, arrests or disappearances of opposition activists in recent years, and lack of accountable governance.","15,000"
9,2017,Belarus,Not free,“Parasite” tax protests,"Economic downturn, poverty, continued political restrictions, and detention of opposition activists.",">1,000"
10,2020,Belarus,Not free,“Slipper uprising”,Opposition to President Alexander Lukashenko’s reelection campaign.,Thousands
11,2019,Benin,Free,Election protests,Growing authoritarianism and crackdown on political opponents and media.,">1,000"
12,2019,Bolivia,Partly free,Wildfire protests,Morales’ environmental policies and growing popular discontent with the president.,"1,500,000"
13,2019,Bolivia,Partly free,2019 election protests,Fears over electoral fraud and growing authoritarian tendencies.,">10,000"
14,2018,Bosnia and Herzegovina,Partly free,“Justice for David” protests,"Impunity, weak rule of law, and corruption.",">10,000"
15,2019,Brazil,Free,Education cuts protests,Economic challenges and government attacks on public education.,">100,000"
16,2020,Brazil,Free,Coronavirus protests,"Lack of an effective government response to the spread of the coronavirus, racism in Brazil, and police brutality against Black Brazilians.",Thousands
17,2019,Chile,Free,Subway fare protests,"Severe inequality, low wages and pensions, poor service delivery, discontent with government, militarized response to the protests, and government leaders' corruption.",">1,000,000"
18,2019,Colombia,Partly free,National strikes,"Disapproval of President Iván Duque Márquez's government, rising economic inequality, corruption, and militarized response to protests.",">1,000,000"
19,2020,Colombia,Partly free,Coronavirus protests,Lack of an effective government response to the spread of the coronavirus.,Hundreds
20,2020,Colombia,Partly free,Prison protest,"Unsanitary conditions in prisons, including overcrowding and lack of access to water.",Unknown
21,2018,Costa Rica,Free,Tax reform protests,Impact of austerity measures on lower- and middle-class workers and growing inequality.,">1,000"
22,2019,Croatia,Free,Teachers’ strike,Low compensation of education workers.,"20,000"
23,2019,Czech Republic,Free,“Million Moments for Democracy” protests,"Government corruption, threats to judicial independence, and democratic backslide.","250,000"
24,2017,Democratic Republic of the Congo,Not free,Election delay protests,"Lack of transition of power, rising authoritarianism, and violent government response to protests.",">1,000"
25,2017,Dominican Republic,Partly free,Corruption protests,Bribery of politicians.,">10,000"
26,2019,Ecuador,Partly free,Fuel subsidy protests,Economic inequality and indigenous land rights.,">10,000"
27,2020,Ecuador,Partly free,Coronavirus protests,Economic impacts of the coronavirus pandemic response.,4000
28,2019,Egypt,Not free,Corruption protests,Corruption and rising levels of poverty despite economic growth.,">1,000"
29,2018,Ethiopia,Not free,Political prisoner protests,"Demands for increased political freedom, reforms, and ethnic representation in federal structures.",">1,000"
30,2017,France,Free,Labor reform protests,Perceptions of President Emmanuel Macron's administration as overly favorable to businesses.,"200,000"
31,2018,France,Free,Rail unions’ protests,Threats to public services and public sector employees.,"200,000"
32,2018,France,Free,“Yellow Vest” protests,"Economically regressive policies, declining standard of living, growing inequality, and perception of government as overly favorable to the rich.","300,000"
33,2019,France,Free,Pension reform protests,Pension reform.,"800,000"
34,2020,France,Free,Black Lives Matter protests,"Police brutality in France, France’s colonial legacy, and a lack of government recognition or societal discussion of issues of systemic racism.","20,000"
35,2019,Gambia,Partly free,“Three Years Is Enough” protests,"Lack of political reforms, democratic backslide, and lack of government transparency.","10,000"
36,2018,Gaza Strip,Not free,“Great March of Return” protests,"Economic crisis caused by the blockade (including high unemployment along with electricity and food shortages), and Palestinians’ demand for the right to return.","40,000"
37,2019,Georgia,Partly free,Russian interference protests,Concerns that the ruling party is too friendly to Russia.,"10,000"
38,2019,Georgia,Partly free,Electoral reform protests,"Democratic backslide, crackdown on political opponents, and discontent with the electoral system that advantages the ruling party.","20,000"
39,2020,Germany,Free,Far-right pact protests,State-level mainstream parties’ cooperation with far-right parties.,"18,000"
40,2020,Germany,Free,Coronavirus lockdown protests,View of government measures as overly restrictive.,Thousands
41,2020,Germany,Free,Police brutality protests,"Police brutality, systemic racism, and lack of government recognition of systemic racism.",">100,000"
42,2020,Greece,Free,Pension reform strike,"Citizens' fears of pension cuts, which could require them to retire later.","10,000"
43,2019,Guinea,Partly free,Term limit protests,Rising authoritarianism and repression of dissent and protests.,">100,000"
44,2018,Haiti,Partly free,PetroCaribe protests,"Poverty, corruption, lack of economic development despite economic aid, and inadequate public services and infrastructure.",">10,000"
45,2017,Honduras,Partly free,2017 election protests,"Electoral fraud and broader democratic erosion (in other words, subversion of term limits).",">10,000"
46,2019,Honduras,Partly free,Privatization reform protests,"Government corruption, falling spending on public services, and widespread poverty despite economic growth.",">10,000"
47,2017,Hong Kong,Partly free,Sentencing protest,"Restriction of civil liberties, autonomy from China, and questions over judicial independence.","22,000"
48,2019,Hong Kong,Partly free,Extradition bill protests,"Erosion of Hong Kong’s one country, two systems autonomy from China, and restriction of civil liberties.","2,000,000"
49,2018,Hungary,Free,“Slave law” protests,Democratic backslide under Prime Minister Viktor Orbán and structural economic challenges (such as support for the country’s aging population).,"100,000"
50,2017,India,Free,Farmer protests,"Discontent with government policies on farming, lack of government assistance, and stagnating incomes for farmers.","100,000"
51,2017,India,Free,Reservations protests,"Rural economic downturn, rising unemployment, and view of reservations as critical for broadening economic opportunity by attaining higher education or securing better jobs.","800,000"
52,2018,India,Free,SC/ST Act protests,"History of caste-based discrimination and violence against Dalits despite constitutional and legal protections, and impunity for those who commit crimes against Dalits.",">10,000"
53,2019,India,Free,Citizenship law protests,"Concern over rising Hindu nationalism under Prime Minister Narendra Modi, marginalization of Muslims, and opposition to migration (among citizens in northeastern India­).",">100,000"
54,2020,India,Free,24-hour strike,Opposition to Modi’s economic policies (including privatization).,">10,000"
55,2020,India,Free,Migrant worker protest,Extension of existing lockdown restrictions to combat coronavirus.,Thousands
56,2019,Indonesia,Partly free,West Papua protests,"Discrimination against and marginalization of Papuan citizens, tensions between Papuans and the central government, desires for Papuan independence, and the effects of extractive industries in West Papua.",">10,000"
57,2019,Indonesia,Partly free,Criminal code protests,Weakening of anticorruption body and growing skepticism of President Joko Widodo’s commitment to reforms.,">10,000"
58,2017,Iran,Not free,Budget protests,"Slow economic growth, lack of political freedoms and openness, and corruption.",">10,000"
59,2019,Iran,Not free,Fuel hike protests,Economic challenges (growing budget deficit and high inflation) and discontent toward political leaders.,"200,000"
60,2020,Iran,Not free,Downed plane protests,Lack of government transparency and accountability and popular discontent with political leadership.,">1,000"
61,2019,Iraq,Not free,Iraq protests,"Inadequate public services, government corruption, unemployment, discontent with the country’s sectarian political system, Iranian influence in Iraq, and government repression of protests.",">10,000"
62,2017,Israel,Free,Recommendations bill protests,Government corruption and lack of transparency.,"20,000"
63,2018,Israel,Free,Nation-state law protests,Anti-Arab discrimination.,"30,000"
64,2020,Israel,Free,Israel coronavirus protests,Perceptions of Netanyahu’s actions as antidemocratic or authoritarian.,2000
65,2019,Italy,Free,Union-led economic protests,"Economic stagnation, lack of employment opportunities, and government's failure to address challenges such as corruption, climate change, and sexism.",">100,000"
66,2020,Italy,Free,Prison protest,"Prison overcrowding, lack of government support for the prison system, and poor conditions in prisons.",Unknown
67,2020,Japan,Free,Police brutality protests,"Police brutality, systemic racism, and lack of government recognition of systemic racism.",">1,000"
