Country,Protest Name,Start Date,Freedom Rating (Status) at Start Date,Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,
Albania,Local elections protests,Feb-19,Partly free,Suspicions that Prime Minister Edi Rama engaged in electoral fraud to win the country's 2017 parliamentary elections.,Electoral fraud and corruption.,">10,000",Opposition parties.,5 months,No policy/leadership change in response to the protests.,
Algeria,Protests against “Le Pouvoir”,Feb-19,Not free,Then president Abdelaziz Bouteflika’s decision to seek a fifth term as president.,"Economic downturn, corruption and nepotism, and desire for removal of entrenched military and political elites.",">1,000,000","Opposition parties; a wide range of everyday citizens, such as bankers, truck drivers, teachers, students.",Active,"Bouteflika resigned. Military and political elites retained power in subsequent elections, triggering further unrest.",
Argentina,Austerity protests,Sep-18,Free,Proposal of austerity measures mandated by the International Monetary Fund.,"Rising inflation and unemployment, as well as higher utility costs.",">10,000","Teachers, social organizations, leftist groups.",1 year (sporadic),No policy/leadership change in response to the protests.,
Argentina,Violence against women protests,Apr-20,Free,Increasing rates of violence and femicide against women during the government-mandated lockdown.,Violence against women and lack of resources/institutions to combat it.,Thousands,Women.,1 month,The Supreme Court of Mendoza established several protocols for domestic violence victims to file complaints.,
Armenia,“#RejectSerzh” protests,Apr-18,Partly free,"Election of then president Serzh Sargsyan as prime minister, allowing him to subvert presidential term limits.","Democratic backslide, poverty, and corruption.",">100,000","Students, opposition leaders.",2 weeks,"Sargsyan resigned as prime minister and was succeeded by Nikol Pashinyan, an opposition leader and leading figure in the protests.",
Australia,Wildfire protests,Jan-20,Free,Government response to the Australian bushfires.,Climate change and weak government policies on climate.,"30,000","Students, activists.",2 days,"Prime Minister Scott Morrison admitted some regret over government policies, increased funding to respond to the bushfires, and promised that a royal commission would review the government response.",
Australia,Racial equality protests,Jun-20,Free,"Death of George Floyd in the United States, sparking protests in Australia against local police brutality and racism.","Local issues of racism, institutional racism, and police violence against Aboriginal people.",">10,000",General public.,Active,No policy/leadership change in response to the protests.,
Azerbaijan,Political prisoner protest,Jan-19,Not free,"Opening of a new criminal case against political prisoner and anticorruption blogger Mehman Huseynov, who had run a Facebook page critical of the authorities.","Imprisonment of journalists and civil society members, political prosecutions, police brutality, corruption, and lack of democratic reform.","5,000",Umbrella group of opposition parties.,1 day,Government dropped the new charges against Huseynov.,
Bangladesh,Road safety protests,Jul-18,Partly free,Two students killed by a bus driver.,"Lack of road safety, corruption in transportation sector, arrests or disappearances of opposition activists in recent years, and lack of accountable governance.","15,000","Middle school, high school, university students.",1 week,Installation of legal reforms to raise penalties related to dangerous driving.,
Belarus,“Parasite” tax protests,Feb-17,Not free,Labor law that would require citizens who work less than half the year and fail to register with state labor exchanges to pay $250.,"Economic downturn, poverty, continued political restrictions, and detention of opposition activists.",">1,000",General public.,1 month,President Alexander Lukashenko suspended the tax for a year.,
Belarus,“Slipper uprising”,Jun-20,Not free,Arrests of opposition presidential candidates.,Opposition to President Alexander Lukashenko’s reelection campaign.,Thousands,General public.,Active,No policy/leadership change in response to the protests.,
Benin,Election protests,Mar-19,Free,"Exclusion of five opposition parties from legislative elections, and consequent electoral victory of government-aligned political parties.",Growing authoritarianism and crackdown on political opponents and media.,">1,000",Political supporters of former president Thomas Yayi.,4 months,No policy/leadership change in response to the protests.,
Bolivia,Wildfire protests,Oct-19,Partly free,Then president Evo Morales’s refusal to declare the wildfires in Bolivia a national disaster.,Morales’ environmental policies and growing popular discontent with the president.,"1,500,000",General public.,1 week,No policy/leadership change in response to the protests.,
