"COUNTRY","Country","AGE","Age","ISC11_LEVEL_CAT","Education level and programe orientation ","INDICATOR","Indicator","SEX","Sex","INTENSITY","Intensity","YEAR","Year","Value","Flag Codes","Flags"
"ISR","Israel","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2013","2013",85.413,,
"ISR","Israel","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2014","2014",85.406,,
"ISR","Israel","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2015","2015",85.759,,
"ISR","Israel","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2016","2016",86.414,,
"ISR","Israel","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2017","2017",86.888,,
"IRL","Ireland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2013","2013",84.557,,
"IRL","Ireland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2014","2014",84.457,,
"IRL","Ireland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2015","2015",84.248,,
"IRL","Ireland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2016","2016",83.536,,
"IRL","Ireland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2017","2017",82.899,,
"FIN","Finland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2013","2013",51.708,,
"FIN","Finland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2014","2014",52.645,,
"FIN","Finland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2015","2015",54.24,,
