"TIME","GEO","INDIC_ED","Value"
"2003","Belgium","Female students per 100 males in tertiary education (ISCED5-6)","114.4"
"2004","Belgium","Female students per 100 males in tertiary education (ISCED5-6)","116.5"
"2005","Belgium","Female students per 100 males in tertiary education (ISCED5-6)","119.4"
"2006","Belgium","Female students per 100 males in tertiary education (ISCED5-6)","120.8"
"2007","Belgium","Female students per 100 males in tertiary education (ISCED5-6)","122.0"
"2008","Belgium","Female students per 100 males in tertiary education (ISCED5-6)","122.4"
"2009","Belgium","Female students per 100 males in tertiary education (ISCED5-6)","121.3"
"2010","Belgium","Female students per 100 males in tertiary education (ISCED5-6)","123.2"
"2011","Belgium","Female students per 100 males in tertiary education (ISCED5-6)","123.5"
"2012","Belgium","Female students per 100 males in tertiary education (ISCED5-6)","124.7"
"2003","French Community in Belgium including small German-speaking Community","Female students per 100 males in tertiary education (ISCED5-6)","112.6"
"2004","French Community in Belgium including small German-speaking Community","Female students per 100 males in tertiary education (ISCED5-6)","114.7"
"2005","French Community in Belgium including small German-speaking Community","Female students per 100 males in tertiary education (ISCED5-6)","118.6"
"2006","French Community in Belgium including small German-speaking Community","Female students per 100 males in tertiary education (ISCED5-6)","121.0"
"2007","French Community in Belgium including small German-speaking Community","Female students per 100 males in tertiary education (ISCED5-6)","123.8"
"2008","French Community in Belgium including small German-speaking Community","Female students per 100 males in tertiary education (ISCED5-6)","124.5"
"2009","French Community in Belgium including small German-speaking Community","Female students per 100 males in tertiary education (ISCED5-6)","125.5"
"2010","French Community in Belgium including small German-speaking Community","Female students per 100 males in tertiary education (ISCED5-6)","124.8"
"2011","French Community in Belgium including small German-speaking Community","Female students per 100 males in tertiary education (ISCED5-6)","124.1"
"2012","French Community in Belgium including small German-speaking Community","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2003","Flemish Community in Belgium","Female students per 100 males in tertiary education (ISCED5-6)","115.9"
"2004","Flemish Community in Belgium","Female students per 100 males in tertiary education (ISCED5-6)","118.1"
"2005","Flemish Community in Belgium","Female students per 100 males in tertiary education (ISCED5-6)","120.1"
"2006","Flemish Community in Belgium","Female students per 100 males in tertiary education (ISCED5-6)","120.6"
"2007","Flemish Community in Belgium","Female students per 100 males in tertiary education (ISCED5-6)","120.4"
"2008","Flemish Community in Belgium","Female students per 100 males in tertiary education (ISCED5-6)","120.6"
"2009","Flemish Community in Belgium","Female students per 100 males in tertiary education (ISCED5-6)","117.9"
"2010","Flemish Community in Belgium","Female students per 100 males in tertiary education (ISCED5-6)","121.9"
"2011","Flemish Community in Belgium","Female students per 100 males in tertiary education (ISCED5-6)","123.1"
"2012","Flemish Community in Belgium","Female students per 100 males in tertiary education (ISCED5-6)",":"
"2003","Bulgaria","Female students per 100 males in tertiary education (ISCED5-6)","111.9"
"2004","Bulgaria","Female students per 100 males in tertiary education (ISCED5-6)","110.4"
"2005","Bulgaria","Female students per 100 males in tertiary education (ISCED5-6)","108.7"
"2006","Bulgaria","Female students per 100 males in tertiary education (ISCED5-6)","114.9"
"2007","Bulgaria","Female students per 100 males in tertiary education (ISCED5-6)","116.0"
"2008","Bulgaria","Female students per 100 males in tertiary education (ISCED5-6)","123.9"
"2009","Bulgaria","Female students per 100 males in tertiary education (ISCED5-6)","125.2"
"2010","Bulgaria","Female students per 100 males in tertiary education (ISCED5-6)","124.8"
"2011","Bulgaria","Female students per 100 males in tertiary education (ISCED5-6)","122.8"
"2012","Bulgaria","Female students per 100 males in tertiary education (ISCED5-6)","120.4"
"2003","Czechia","Female students per 100 males in tertiary education (ISCED5-6)","102.8"
"2004","Czechia","Female students per 100 males in tertiary education (ISCED5-6)","105.1"
"2005","Czechia","Female students per 100 males in tertiary education (ISCED5-6)","111.1"
